flex1,flex2,flex3,flex4,flex5,imu_x,imu_y,imu_z,SIGN
0.002686202686202686,0.0009768009768009768,0.004884004884004884,0.002442002442002442,0.006837606837606838,3.69,-57.06,10.75,C3
0.0029304029304029304,0.001221001221001221,0.004884004884004884,0.002442002442002442,0.010256410256410256,3.62,-57.06,10.69,C3
0.0031746031746031746,0.0014652014652014652,0.005128205128205128,0.002442002442002442,0.009035409035409036,3.75,-57.13,10.75,C3
0.0031746031746031746,0.0014652014652014652,0.005128205128205128,0.002442002442002442,0.00805860805860806,3.69,-57.25,10.63,C3
0.0031746031746031746,0.0017094017094017094,0.005372405372405372,0.002197802197802198,0.00757020757020757,3.69,-57.38,10.75,C3
0.0031746031746031746,0.0019536019536019536,0.005372405372405372,0.0019536019536019536,0.004884004884004884,3.81,-57.31,10.81,C3
0.0029304029304029304,0.002197802197802198,0.005372405372405372,0.0019536019536019536,0.0029304029304029304,3.94,-57.63,11.13,C3
0.0029304029304029304,0.002442002442002442,0.005372405372405372,0.0019536019536019536,0.0004884004884004884,4.12,-57.56,11.13,C3
0.0029304029304029304,0.002442002442002442,0.005616605616605617,0.002197802197802198,0.001221001221001221,4.0,-57.94,11.19,C3
0.0029304029304029304,0.002686202686202686,0.005860805860805861,0.002197802197802198,0.002442002442002442,4.19,-57.75,11.31,C3
0.0029304029304029304,0.002686202686202686,0.006105006105006105,0.002442002442002442,0.002197802197802198,4.0,-58.0,11.31,C3
0.0029304029304029304,0.002686202686202686,0.006349206349206349,0.002442002442002442,0.0007326007326007326,4.06,-57.63,11.19,C3
0.0031746031746031746,0.0029304029304029304,0.006837606837606838,0.002442002442002442,0.002686202686202686,4.0,-58.0,11.38,C3
0.0031746031746031746,0.0029304029304029304,0.006837606837606838,0.002442002442002442,0.007326007326007326,4.06,-57.75,11.38,C3
0.0031746031746031746,0.0029304029304029304,0.007081807081807082,0.002686202686202686,0.010500610500610501,3.44,-57.63,11.31,C3
0.0031746031746031746,0.0029304029304029304,0.007326007326007326,0.0029304029304029304,0.012698412698412698,2.62,-56.75,11.25,C3
0.0031746031746031746,0.0029304029304029304,0.007081807081807082,0.0029304029304029304,0.010744810744810745,1.25,-55.63,10.69,C3
0.0029304029304029304,0.002442002442002442,0.005860805860805861,0.005616605616605617,0.00927960927960928,355.56,-53.94,10.44,C3
0.002442002442002442,0.0004884004884004884,0.0017094017094017094,0.014652014652014652,0.007326007326007326,349.94,-50.06,9.0,C3
0.0002442002442002442,0.014163614163614164,0.019291819291819293,0.03247863247863248,0.005860805860805861,345.94,-47.44,8.38,C3
0.010256410256410256,0.03833943833943834,0.04151404151404151,0.05225885225885226,0.00463980463980464,343.75,-46.75,8.19,C3
0.025152625152625153,0.05714285714285714,0.060805860805860805,0.06666666666666667,0.0017094017094017094,343.87,-45.94,8.31,C3
0.03736263736263736,0.07032967032967033,0.07472527472527472,0.07667887667887668,0.003907203907203907,344.69,-45.75,8.75,C3
0.04590964590964591,0.0796092796092796,0.0844932844932845,0.08376068376068375,0.007814407814407814,345.62,-45.75,8.88,C3
0.05201465201465202,0.08498168498168499,0.09108669108669108,0.08791208791208792,0.010744810744810745,346.12,-45.94,8.56,C3
0.05543345543345543,0.08766788766788766,0.09499389499389499,0.08986568986568987,0.012698412698412698,348.19,-46.81,6.62,C3
0.05714285714285714,0.08791208791208792,0.09645909645909646,0.09010989010989011,0.012942612942612943,352.62,-48.63,4.19,C3
0.057631257631257635,0.08522588522588523,0.09474969474969475,0.08766788766788766,0.011721611721611722,356.5,-48.75,5.75,C3
0.051770451770451774,0.07741147741147741,0.08962148962148962,0.08083028083028083,0.010012210012210013,359.56,-50.06,8.06,C3
0.040293040293040296,0.06544566544566545,0.07912087912087912,0.06984126984126984,0.007326007326007326,1.25,-51.69,9.94,C3
0.03028083028083028,0.054212454212454214,0.06813186813186813,0.05958485958485959,0.0019536019536019536,1.81,-52.06,11.31,C3
0.022954822954822957,0.046153846153846156,0.06031746031746032,0.05225885225885226,0.0017094017094017094,0.69,-52.44,12.06,C3
0.018070818070818073,0.04053724053724054,0.054945054945054944,0.04737484737484737,0.004395604395604396,356.44,-53.25,12.81,C3
0.015384615384615385,0.03663003663003663,0.052503052503052504,0.04713064713064713,0.004884004884004884,353.31,-49.75,11.44,C3
0.020757020757020756,0.04224664224664225,0.05982905982905983,0.056654456654456654,0.004151404151404151,351.12,-47.5,10.5,C3
0.02783882783882784,0.05274725274725275,0.07228327228327229,0.06764346764346764,0.001221001221001221,350.31,-46.88,10.69,C3
0.03492063492063492,0.06153846153846154,0.08083028083028083,0.07521367521367521,0.0007326007326007326,350.87,-46.38,10.38,C3
0.04004884004884005,0.06788766788766788,0.08693528693528693,0.08058608058608059,0.0019536019536019536,350.75,-46.25,10.5,C3
0.043467643467643466,0.07203907203907203,0.09133089133089133,0.08376068376068375,0.0029304029304029304,98.0,-45.81,10.44,C3
0.04566544566544566,0.07448107448107448,0.09401709401709402,0.08522588522588523,0.002686202686202686,100.19,-45.5,8.13,C3
0.04664224664224664,0.07545787545787545,0.09523809523809523,0.08522588522588523,0.002197802197802198,102.87,-43.5,6.5,C3
0.04590964590964591,0.07252747252747253,0.09255189255189256,0.08278388278388278,0.0019536019536019536,106.75,-41.81,7.75,C3
0.04078144078144078,0.06349206349206349,0.08424908424908426,0.07521367521367521,0.0029304029304029304,107.69,-42.94,8.56,C3
0.030525030525030524,0.05201465201465202,0.07179487179487179,0.06446886446886448,0.003663003663003663,107.94,-43.25,8.81,C3
0.02197802197802198,0.04249084249084249,0.060805860805860805,0.054945054945054944,0.004151404151404151,108.37,-42.38,9.0,C3
0.015384615384615385,0.03565323565323565,0.05225885225885226,0.04810744810744811,0.003418803418803419,107.69,-42.81,8.94,C3
0.01098901098901099,0.030525030525030524,0.04566544566544566,0.04322344322344322,0.0017094017094017094,107.06,-42.75,9.06,C3
0.007814407814407814,0.026862026862026864,0.04126984126984127,0.04004884004884005,0.0031746031746031746,105.5,-43.06,9.19,C3
0.005616605616605617,0.02490842490842491,0.0380952380952381,0.037606837606837605,0.006349206349206349,101.62,-45.38,9.31,C3
0.004884004884004884,0.02490842490842491,0.03833943833943834,0.0398046398046398,0.008791208791208791,98.62,-46.56,9.69,C3
0.011477411477411478,0.03028083028083028,0.04737484737484737,0.05103785103785104,0.009035409035409036,96.5,-46.81,10.0,C3
0.023931623931623933,0.043467643467643466,0.06202686202686203,0.06495726495726496,0.009523809523809525,95.5,-46.69,10.69,C3
0.037606837606837605,0.05860805860805861,0.07643467643467644,0.07496947496947497,0.008547008547008548,95.56,-46.31,10.94,C3
0.04737484737484737,0.0695970695970696,0.08644688644688645,0.08180708180708181,0.007814407814407814,95.56,-46.56,11.13,C3
0.054212454212454214,0.07716727716727717,0.09352869352869353,0.08669108669108669,0.002686202686202686,97.0,-46.25,10.94,C3
0.05885225885225885,0.08253968253968254,0.09841269841269841,0.09010989010989011,0.0031746031746031746,100.25,-44.13,8.63,C3
0.06202686202686203,0.0844932844932845,0.10012210012210013,0.08986568986568987,0.007326007326007326,104.69,-38.81,8.19,C3
0.060073260073260075,0.0800976800976801,0.09572649572649573,0.08498168498168499,0.010256410256410256,107.44,-37.31,9.56,C3
0.052503052503052504,0.06837606837606838,0.08473748473748474,0.0735042735042735,0.010012210012210013,107.37,-38.38,9.94,C3
0.04126984126984127,0.05641025641025641,0.07228327228327229,0.06251526251526252,0.008547008547008548,107.25,-38.63,9.88,C3
0.03247863247863248,0.04786324786324787,0.06227106227106227,0.05445665445665446,0.006593406593406593,107.44,-38.25,9.81,C3
0.026373626373626374,0.041758241758241756,0.05543345543345543,0.04884004884004884,0.003907203907203907,106.37,-40.0,9.81,C3
0.022222222222222223,0.037606837606837605,0.05054945054945055,0.04493284493284493,0.0007326007326007326,103.69,-43.38,10.19,C3
0.019536019536019536,0.03540903540903541,0.04957264957264957,0.04566544566544566,0.004884004884004884,100.94,-46.31,10.88,C3
0.02564102564102564,0.042735042735042736,0.05860805860805861,0.05616605616605617,0.008791208791208791,97.69,-48.94,11.44,C3
0.035164835164835165,0.05714285714285714,0.07301587301587302,0.06886446886446887,0.010500610500610501,97.31,-48.81,11.94,C3
