flex1,flex2,flex3,flex4,flex5,x,y,z,face,SIGN
3,1,1,6,1889,149.5,-4.62,16.62,0.004,Xin Chào
0,2,2,5,1888,149.5,-4.37,16.94,0.005,Xin Chào
1,1,1,5,1889,149.44,-4.12,17.69,0.004,Xin Chào
2,2,1,5,1888,149.37,-3.87,18.12,0.004,Xin Chào
1,1,1,6,1888,149.44,-3.87,18.19,0.004,Xin Chào
0,2,1,4,1888,149.69,-4.06,18.25,0.005,Xin Chào
1,1,1,3,1888,150.0,-4.44,17.25,0.002,Xin Chào
2,1,1,5,1888,150.56,-4.87,16.25,0.002,Xin Chào
2,1,1,5,1888,151.25,-5.12,15.88,0.003,Xin Chào
0,2,0,5,1888,151.37,-5.12,16.12,0.001,Xin Chào
1,1,2,4,1888,151.62,-4.81,17.12,0.004,Xin Chào
2,1,1,5,1888,151.69,-5.06,17.06,0.004,Xin Chào
0,1,1,6,1889,151.5,-5.25,16.69,0.001,Xin Chào
0,2,1,5,1888,150.87,-5.19,17.0,0.0,Xin Chào
0,1,0,5,1888,150.31,-5.12,17.5,0.004,Xin Chào
1,1,1,5,1888,149.75,-5.06,17.75,0.001,Xin Chào
2,0,3,4,1889,149.5,-4.75,18.06,0.004,Xin Chào
2,2,1,7,1888,149.62,-4.62,18.25,0.003,Xin Chào
1,1,1,6,1889,150.0,-4.5,18.25,0.009,Xin Chào
0,1,2,6,1888,150.81,-4.37,18.62,0.016,Xin Chào
2,-1,2,5,1888,152.25,-4.19,20.0,0.007,Xin Chào
1,2,0,5,1888,155.06,-3.37,28.94,0.001,Xin Chào
0,1,1,5,1888,153.19,1.94,40.25,0.034,Xin Chào
1,1,1,5,1889,141.81,8.56,35.44,0.15,Xin Chào
0,2,0,48,1889,123.44,18.0,26.75,0.135,Xin Chào
2,2,0,5,1889,104.62,33.88,37.31,0.277,Xin Chào
1,0,1,5,1888,103.5,44.69,34.13,0.272,Xin Chào
1,1,1,3,1889,125.62,49.88,0.62,0.303,Xin Chào
2,1,1,189,1889,154.75,37.19,-29.31,0.156,Xin Chào
1,1,1,5,1888,148.69,37.69,-42.31,0.15,Xin Chào
1,2,2,4,1889,127.75,57.19,-12.06,0.152,Xin Chào
3,0,1,6,1889,107.75,64.87,55.69,0.068,Xin Chào
2,1,1,8,1888,124.0,69.31,24.94,0.003,Xin Chào
0,2,2,363,1889,159.87,38.88,-36.75,0.002,Xin Chào
2,2,0,5,1889,157.12,40.19,-52.19,0.002,Xin Chào
1,2,1,3,1889,135.37,63.25,-11.81,0.001,Xin Chào
2,3,1,4,1888,117.06,68.0,70.56,0.001,Xin Chào
1,1,2,3,1888,132.31,76.5,41.81,0.001,Xin Chào
1,1,1,162,1889,159.44,52.69,-40.19,0.002,Xin Chào
1,1,0,4,1888,147.62,43.81,-68.37,0.012,Xin Chào
1,2,1,6,1889,125.19,71.69,2.06,0.003,Xin Chào
2,1,2,4,1888,112.62,61.44,107.19,0.0,Xin Chào
2,2,0,3,1889,139.31,81.87,11.06,0.002,Xin Chào
138,1,1,4,1889,161.5,36.56,-67.25,0.15,Xin Chào
2,2,1,3,1889,146.06,49.69,-51.75,0.172,Xin Chào
1,1,2,6,1889,110.06,60.81,22.81,0.146,Xin Chào
3,0,1,5,1889,103.87,57.5,82.62,0.133,Xin Chào
0,2,2,6,1888,128.12,74.69,11.75,0.136,Xin Chào
1396,2,1,6,1888,161.5,37.56,-66.0,0.151,Xin Chào
0,0,-1,5,1889,142.62,54.94,-44.88,0.14,Xin Chào
3,1,1,7,1889,108.81,58.0,43.0,0.078,Xin Chào
1,1,2,5,1889,112.62,61.63,62.38,0.004,Xin Chào
1,3,0,7,1888,158.69,54.88,-28.81,0.114,Xin Chào
2,0,2,7,1889,160.19,39.63,-59.38,0.091,Xin Chào
3,0,1,8,1888,131.44,54.75,-7.37,0.207,Xin Chào
