flex1,flex2,flex3,flex4,flex5,x,y,z,face
0,0,1,1,1888,333.75,7.69,7.19,0.002
1,-2,2,3,1888,333.87,7.87,7.75,0.001
2,-1,0,0,1888,334.0,8.0,7.81,0.003
1,0,0,-1,1888,333.94,8.5,8.0,0.004
2,0,1,1,1889,333.81,8.69,8.13,0.004
1,-1,1,1,1888,333.62,9.13,8.75,0.003
1,-1,1,1,1888,331.69,10.06,10.06,0.002
1,-1,1,3,1888,326.81,12.0,11.19,0.003
1,0,2,1,1889,321.5,13.81,12.56,0.003
2,-1,2,0,1888,314.94,15.94,15.56,0.002
0,-1,1,9,1888,301.81,14.81,27.19,0.002
603,-1,625,62,1888,292.12,5.44,47.06,0.003
1095,0,1887,1,1889,297.87,0.69,69.0,0.002
1352,-1,2386,23,1889,295.87,0.69,67.56,0.001
1084,-1,1632,683,1888,294.44,1.81,70.25,0.003
1035,0,1897,102,1889,298.19,5.0,70.12,0.003
1147,-1,1359,118,1888,301.87,7.87,69.81,0.001
1033,-1,1024,187,1888,307.0,9.69,68.19,0.003
641,0,2159,38,1889,308.62,8.88,65.69,0.002
577,0,2251,40,1889,307.69,6.75,67.06,0.003
385,0,1330,156,1888,305.56,2.0,67.12,0.002
156,-1,880,60,1889,303.12,0.94,69.37,0.003
189,1,327,1,1889,301.25,-0.75,68.31,0.002
94,-1,470,1,1889,300.5,-1.25,68.44,0.003
193,-2,337,0,1888,300.81,-1.19,67.87,0.003
