flex1,flex2,flex3,flex4,flex5,x,y,z,face,SIGN
5,2,1,2,1888,48.25,23.12,32.44,0.002,Hẹn Hò
2,0,1,3,1889,48.13,23.25,32.13,0.002,Hẹn Hò
1,1,2,0,1888,48.38,24.06,31.75,0.003,Hẹn Hò
1,2,2,1,1888,50.13,26.0,31.94,0.004,Hẹn Hò
17,1,1,1,1888,47.31,27.37,24.06,0.004,Hẹn Hò
3,1,1,1,1889,42.5,25.25,11.81,0.002,Hẹn Hò
1,2,0,1,1889,39.13,25.06,-7.0,0.002,Hẹn Hò
1,1,1,1,1888,40.06,26.37,-17.0,0.003,Hẹn Hò
0,2,0,3,1889,39.06,27.69,-13.88,0.0,Hẹn Hò
1,2,1,-1,1889,34.44,27.31,-17.25,0.003,Hẹn Hò
3,1,1,0,1888,34.31,25.75,-25.25,0.001,Hẹn Hò
1,2,1,3,1888,36.56,25.81,-31.25,0.001,Hẹn Hò
1,2,1,0,1888,39.0,25.44,-34.94,0.0,Hẹn Hò
0,0,1,1,1904,42.19,24.25,-32.44,0.003,Hẹn Hò
0,1,0,0,1904,43.81,23.56,-31.0,0.003,Hẹn Hò
0,2,2,3,1888,49.81,19.19,-32.06,0.003,Hẹn Hò
1,1,2,0,1889,53.75,14.38,-38.19,0.004,Hẹn Hò
2,1,1,1,1888,58.63,8.88,-44.63,0.002,Hẹn Hò
0,1,47,76,1888,61.31,10.06,-42.63,0.002,Hẹn Hò
1,0,2,0,1888,49.56,16.37,-42.69,0.003,Hẹn Hò
1,1,2,15,1888,47.13,22.5,-29.19,0.002,Hẹn Hò
46,39,38,143,1889,49.31,24.75,-13.25,0.002,Hẹn Hò
2,2,0,0,1888,45.13,25.87,-13.94,0.002,Hẹn Hò
0,1,3,0,1888,40.0,29.94,-19.19,0.002,Hẹn Hò
1,2,2,1,1889,50.56,32.06,-19.69,0.002,Hẹn Hò
1,0,2,0,1888,57.19,30.37,-7.81,0.002,Hẹn Hò
0,2,0,153,1888,54.81,20.37,-1.62,0.001,Hẹn Hò
5,1,3,494,1889,50.88,19.62,5.37,0.001,Hẹn Hò
1,0,1,469,1889,49.81,20.0,13.25,0.001,Hẹn Hò
1,0,1,313,1889,46.0,20.44,13.06,0.002,Hẹn Hò
1,30,2,0,1888,43.69,20.06,14.5,0.002,Hẹn Hò
1,7,1,0,1889,40.44,20.12,14.81,0.003,Hẹn Hò
1,3,268,0,1888,38.69,19.75,14.06,0.001,Hẹn Hò
1,3,1,113,1904,37.44,17.94,12.81,0.001,Hẹn Hò
-1,1,2,74,1904,36.5,17.19,11.5,0.004,Hẹn Hò
0,7,1,169,1921,34.88,16.69,10.38,0.003,Hẹn Hò
1,22,1,235,1920,33.63,15.13,10.56,0.003,Hẹn Hò
0,8,0,150,1905,32.25,15.69,11.44,0.001,Hẹn Hò
2,3,1,159,1921,31.19,17.5,13.25,0.001,Hẹn Hò
1,2,0,65,1889,30.75,17.5,14.19,0.0,Hẹn Hò
2,2,2,73,1904,31.06,17.06,15.38,0.001,Hẹn Hò
1,1,2,1,1888,31.75,16.81,17.31,0.001,Hẹn Hò
0,2,0,2,1889,32.44,17.0,18.37,0.002,Hẹn Hò
0,2,1,1,1889,32.88,17.06,20.5,0.002,Hẹn Hò
2,0,0,30,1889,32.94,16.37,23.37,0.002,Hẹn Hò
1,1,0,135,1889,30.25,16.69,22.25,0.002,Hẹn Hò
1,2,1,145,1904,27.81,17.31,20.56,0.002,Hẹn Hò
1,1,2,291,1920,25.5,17.19,19.69,0.001,Hẹn Hò
0,72,3,134,1904,25.06,17.31,20.44,0.002,Hẹn Hò
7,2,1,3,1888,26.69,17.69,21.62,0.002,Hẹn Hò
215,1,1,3,1888,29.56,18.81,20.5,0.001,Hẹn Hò
0,1,2,3,1888,31.44,18.87,21.12,0.001,Hẹn Hò
1,1,1,0,1889,34.5,18.5,17.06,0.002,Hẹn Hò
1,1,2,1,1889,37.13,22.0,20.87,0.002,Hẹn Hò
2,0,0,2,1888,41.31,13.94,32.81,0.002,Hẹn Hò
1,0,1,0,1888,48.25,-2.87,28.75,0.001,Hẹn Hò
2,1,1,3,1889,54.94,-17.25,23.75,0.001,Hẹn Hò
1,1,3,240,1888,60.75,-37.44,17.94,0.002,Hẹn Hò
1,1,1,2,1889,55.75,-30.5,30.37,0.001,Hẹn Hò
-2,2,0,2,1888,53.69,-30.25,32.69,0.001,Hẹn Hò
1,1,2,321,1889,54.19,-30.12,32.5,0.002,Hẹn Hò
0,1,-1,1,1889,54.19,-30.19,32.63,0.002,Hẹn Hò
0,0,1,3,1888,54.06,-30.06,33.13,0.001,Hẹn Hò
2,2,1,1,1889,54.06,-30.0,33.13,0.001,Hẹn Hò
1,-1,0,25,1888,53.06,-29.94,33.31,0.001,Hẹn Hò
1,2,1,36,1889,51.69,-29.94,33.31,0.001,Hẹn Hò
1,2,0,32,1889,51.06,-29.94,33.44,0.002,Hẹn Hò
3,2,3,43,1889,49.75,-29.94,33.44,0.001,Hẹn Hò
1,2,1,40,1888,48.88,-29.94,33.56,0.001,Hẹn Hò
0,1,1,64,1889,48.19,-29.87,33.63,0.002,Hẹn Hò
1,0,0,96,1889,47.63,-29.87,33.69,0.001,Hẹn Hò
1,2,1,57,1888,47.5,-29.87,33.75,0.0,Hẹn Hò
0,0,2,53,1889,47.19,-29.81,33.81,0.0,Hẹn Hò
1,2,1,88,1889,47.13,-29.81,33.81,0.001,Hẹn Hò
1,2,2,46,1889,47.06,-29.87,33.88,0.001,Hẹn Hò
1,1,1,79,1889,47.0,-29.87,33.94,0.001,Hẹn Hò
3,1,2,66,1888,46.94,-29.87,33.88,0.001,Hẹn Hò
1,2,1,2,1889,46.31,-28.56,33.81,0.0,Hẹn Hò
87,334,1865,0,1889,45.81,-21.5,26.75,0.001,Hẹn Hò
2990,4580,5874,0,1905,49.19,-12.63,19.12,0.001,Hẹn Hò
2308,5158,5139,1,1904,61.75,0.13,27.87,0.002,Hẹn Hò
4386,5902,7974,1,1904,83.25,15.94,26.5,0.001,Hẹn Hò
4087,5403,8227,1,1936,109.5,27.06,25.31,0.001,Hẹn Hò
3858,4935,8254,3,2096,127.62,31.19,22.81,0.002,Hẹn Hò
3628,4352,7901,2,2112,134.37,35.63,22.19,0.001,Hẹn Hò
3802,4608,8061,1,2129,134.19,43.19,20.5,0.001,Hẹn Hò
2808,4669,8055,1,2129,130.87,50.81,16.37,0.002,Hẹn Hò
2488,4295,7653,0,2113,124.62,55.38,11.06,0.001,Hẹn Hò
2575,4415,7465,1,2064,116.44,59.31,11.0,0.002,Hẹn Hò
752,3689,4376,0,1905,112.94,69.31,20.31,0.002,Hẹn Hò
421,2683,537,2,1889,107.19,72.12,28.94,0.001,Hẹn Hò
46,2091,1,29,1905,104.25,72.0,32.44,0.001,Hẹn Hò
100,1837,0,93,1968,99.5,71.12,33.0,0.002,Hẹn Hò
247,2148,1,33,1968,97.06,71.94,37.31,0.003,Hẹn Hò
581,3168,1,104,1985,96.12,71.44,48.69,0.004,Hẹn Hò
607,4028,1,115,2001,93.62,69.06,63.69,0.001,Hẹn Hò
675,4609,2,174,2001,94.62,68.69,69.94,0.001,Hẹn Hò
862,4577,2,145,2000,95.56,69.44,70.06,0.002,Hẹn Hò
808,4833,1,126,2000,96.5,69.37,66.25,0.002,Hẹn Hò
565,4640,1,74,2000,97.25,69.44,63.44,0.001,Hẹn Hò
982,4379,0,48,2000,97.75,69.37,60.69,0.002,Hẹn Hò
878,4365,0,51,1984,96.56,69.31,59.19,0.001,Hẹn Hò
926,4400,-1,0,2000,94.62,68.06,56.44,0.003,Hẹn Hò
153,2967,1,2,1969,89.19,59.13,49.88,0.002,Hẹn Hò
1,656,3,0,1904,75.56,41.81,40.31,0.002,Hẹn Hò
2,2,1,3,1889,59.38,10.38,22.0,0.002,Hẹn Hò
2,0,1,3,1888,45.25,-17.94,7.44,0.002,Hẹn Hò
2,2,1,3,1889,38.81,-29.94,4.87,0.001,Hẹn Hò
1,2,0,5,1889,39.44,-44.31,-18.12,0.003,Hẹn Hò
2,-1,-1,66,1889,38.56,-43.44,-1.5,0.001,Hẹn Hò
2,3,1,4,1889,39.13,-44.44,-4.62,0.001,Hẹn Hò
0,1,1,1,1888,39.31,-43.31,-2.44,0.001,Hẹn Hò
1,1,0,-1,1888,39.44,-42.88,-2.69,0.0,Hẹn Hò
0,2,1,1,1888,39.38,-42.63,-2.25,0.001,Hẹn Hò
2,1,1,4,1889,39.19,-42.44,-2.06,0.001,Hẹn Hò
0,1,1,-1,1888,38.88,-42.38,-1.94,0.002,Hẹn Hò
1,1,1,4,1889,38.63,-42.25,-1.75,0.001,Hẹn Hò
1,3,-1,0,1889,38.56,-42.19,-1.62,0.002,Hẹn Hò
3,1,2,0,1888,38.44,-42.13,-1.56,0.002,Hẹn Hò
1,2,2,2,1889,38.38,-42.06,-1.37,0.002,Hẹn Hò
3,1,1,2,1888,38.38,-42.06,-1.31,0.002,Hẹn Hò
0,1,2,0,1889,38.13,-42.06,-1.31,0.002,Hẹn Hò
2,1,2,1,1888,38.13,-42.06,-1.25,0.003,Hẹn Hò
