flex1,flex2,flex3,flex4,flex5,x,y,z,face,SIGN
4,-2,5,-2,1888,135.37,9.19,11.63,0.001,Hẹn Hò
-6,5,-4,11,1889,135.75,9.31,11.94,0.001,Hẹn Hò
10,-4,9,-6,1889,136.06,9.38,11.88,0.001,Hẹn Hò
-6,6,-5,13,1889,136.31,9.75,12.06,0.001,Hẹn Hò
11,-4,6,-6,1888,137.0,10.31,12.63,0.002,Hẹn Hò
-7,5,-6,13,1888,138.37,11.31,13.88,0.002,Hẹn Hò
12,-6,9,-6,1888,140.69,12.88,15.13,0.003,Hẹn Hò
-8,6,-5,13,1889,142.81,14.13,17.12,0.004,Hẹn Hò
-3,6,-5,9,1888,144.31,14.06,17.06,0.004,Hẹn Hò
10,-2,6,-1,1889,146.19,14.25,16.81,0.005,Hẹn Hò
-3,6,-3,7,1889,147.62,13.69,15.31,0.003,Hẹn Hò
6,-3,3,3,1889,147.0,12.75,13.94,0.004,Hẹn Hò
-3,3,-3,4,1889,145.62,13.0,13.25,0.006,Hẹn Hò
9,-4,4,1,1889,144.56,12.81,12.13,0.004,Hẹn Hò
-6,4,-4,8,1888,143.5,12.13,11.38,0.002,Hẹn Hò
10,-2,4,1,1889,142.75,11.56,10.06,0.005,Hẹn Hò
-1,4,0,4,1888,141.0,12.25,10.88,0.004,Hẹn Hò
5,0,2,7,1889,140.0,13.06,10.94,0.004,Hẹn Hò
4,2,2,0,1889,140.5,13.63,10.19,0.006,Hẹn Hò
0,3,-3,11,1889,140.44,14.0,12.25,0.003,Hẹn Hò
9,-2,5,-5,1888,139.94,14.0,12.63,0.002,Hẹn Hò
-3,4,-5,12,1889,139.5,13.94,13.63,0.003,Hẹn Hò
6,0,4,-4,1888,138.62,13.75,13.56,0.003,Hẹn Hò
-1,2,-1,10,1888,138.56,13.81,14.63,0.004,Hẹn Hò
7,-2,6,-3,1889,138.81,14.25,14.56,0.004,Hẹn Hò
-9,5,-4,12,1888,139.06,14.94,15.19,0.018,Hẹn Hò
13,-3,7,-6,1888,139.5,14.94,15.38,0.005,Hẹn Hò
-7,7,-6,13,1889,139.94,15.0,14.88,0.005,Hẹn Hò
12,-4,7,-7,1889,140.37,15.06,15.13,0.005,Hẹn Hò
-8,8,-5,13,1888,141.69,14.44,14.06,0.005,Hẹn Hò
13,-5,8,-6,1888,142.25,15.44,12.44,0.004,Hẹn Hò
9,-5,5,-1,1888,142.69,17.12,13.69,0.004,Hẹn Hò
-1,5,-2,5,1889,142.31,17.5,15.5,0.005,Hẹn Hò
5,-2,4,3,1888,142.0,18.37,19.87,0.007,Hẹn Hò
3,1,1,1,1889,142.31,19.0,20.44,0.009,Hẹn Hò
5,0,3,4,1888,142.31,18.37,19.94,0.006,Hẹn Hò
-1,3,-2,5,1889,142.06,18.5,18.19,0.01,Hẹn Hò
6,-4,3,1,1888,141.75,19.0,20.87,0.008,Hẹn Hò
-3,3,-1,4,1888,141.37,18.12,18.44,0.006,Hẹn Hò
0,1,1,7,1889,141.56,19.0,22.56,0.007,Hẹn Hò
0,1,0,3,1889,141.69,18.31,20.12,0.008,Hẹn Hò
1,0,1,8,1889,141.62,18.62,21.37,0.008,Hẹn Hò
5,0,5,-3,1889,141.81,18.75,21.56,0.014,Hẹn Hò
-3,4,-4,12,1889,141.81,18.37,21.19,0.007,Hẹn Hò
6,-1,6,-3,1888,142.19,18.62,22.87,0.008,Hẹn Hò
1,3,-2,10,1889,142.75,18.37,22.12,0.007,Hẹn Hò
4,1,2,-3,1889,142.37,18.25,22.81,0.008,Hẹn Hò
-1,2,-2,11,1889,142.81,19.75,28.87,0.006,Hẹn Hò
7,-1,7,-5,1888,142.69,22.56,40.38,0.009,Hẹn Hò
1,4,-5,10,1889,142.31,23.31,43.75,0.016,Hẹn Hò
4,1,4,-3,1888,143.0,22.62,39.38,0.002,Hẹn Hò
1,1,-1,8,1888,143.19,22.37,38.13,0.002,Hẹn Hò
6,-1,6,-3,1889,143.5,22.37,38.75,0.001,Hẹn Hò
-5,5,-2,12,1888,143.81,22.12,36.44,0.003,Hẹn Hò
-5,5,-5,9,1888,144.0,21.87,33.5,0.003,Hẹn Hò
9,-2,7,-2,1888,143.94,21.94,33.13,0.002,Hẹn Hò
-3,7,-4,6,1888,144.06,22.19,33.44,0.003,Hẹn Hò
8,-3,6,1,1889,144.19,22.44,33.63,0.004,Hẹn Hò
-1,5,-2,3,1889,143.87,22.12,32.69,0.003,Hẹn Hò
4,-1,1,6,1888,143.56,21.87,32.0,0.004,Hẹn Hò
-2,5,-2,4,1888,143.5,21.62,31.81,0.004,Hẹn Hò
3,0,3,7,1888,143.44,21.56,30.31,0.003,Hẹn Hò
3,2,2,0,1889,143.31,21.69,30.87,0.003,Hẹn Hò
3,2,2,7,1889,143.44,21.69,31.06,0.004,Hẹn Hò
2,4,-1,3,1889,143.25,21.44,30.19,0.002,Hẹn Hò
6,-1,3,3,1889,143.06,21.62,30.94,0.002,Hẹn Hò
3,3,1,0,1889,142.62,22.19,34.19,0.002,Hẹn Hò
3,0,1,6,1888,141.37,23.87,47.81,0.001,Hẹn Hò
5,1,5,0,1889,152.87,32.19,55.25,0.002,Hẹn Hò
1,5,4,9,1888,166.25,38.69,50.63,0.001,Hẹn Hò
1581,1696,1319,-3,1889,180.44,46.94,71.81,0.001,Hẹn Hò
1345,4424,6665,11,1889,205.25,53.25,103.69,0.002,Hẹn Hò
2140,4834,6464,-8,1905,226.81,53.69,131.19,0.092,Hẹn Hò
2759,5585,6305,76,1904,248.62,57.0,147.37,0.089,Hẹn Hò
2089,5096,7010,6,1937,253.37,65.19,128.69,0.111,Hẹn Hò
2366,5165,7105,9,1968,233.12,58.06,74.87,0.024,Hẹn Hò
2108,5100,6706,0,1984,209.0,38.94,33.5,0.024,Hẹn Hò
2541,4981,6206,3,2001,198.44,32.13,16.56,0.084,Hẹn Hò
1741,4844,6817,7,2032,212.19,41.38,26.31,0.135,Hẹn Hò
1782,4372,7062,3,2065,231.62,48.88,24.62,0.008,Hẹn Hò
1681,4587,7096,7,2080,241.5,51.75,16.0,0.005,Hẹn Hò
1977,4563,6634,5,2112,246.19,57.13,3.25,0.076,Hẹn Hò
1888,4803,7109,40,2096,248.75,63.0,-17.0,0.098,Hẹn Hò
1404,4758,7497,60,2096,243.37,65.0,-26.0,0.024,Hẹn Hò
1571,4848,7364,80,2081,239.44,65.31,-27.62,0.001,Hẹn Hò
2317,4785,7417,38,2065,237.87,64.94,-24.94,0.004,Hẹn Hò
2197,4850,7568,16,2081,238.62,65.37,-23.62,0.004,Hẹn Hò
1880,4229,5386,11,2016,236.87,69.5,-21.56,0.003,Hẹn Hò
672,3589,2892,1,1888,231.75,81.69,-35.19,0.004,Hẹn Hò
10,3718,1324,10,1904,228.25,84.75,-3.12,0.002,Hẹn Hò
360,3646,5,416,1905,218.44,85.25,-0.31,0.002,Hẹn Hò
245,5137,5,521,1921,203.5,82.94,68.37,0.002,Hẹn Hò
306,4578,9,732,1936,193.44,75.31,77.75,0.002,Hẹn Hò
599,5202,-5,849,1936,184.5,66.94,82.5,0.002,Hẹn Hò
933,4711,8,641,1937,182.0,63.5,86.56,0.002,Hẹn Hò
981,4665,-4,577,1936,183.06,64.75,82.87,0.001,Hẹn Hò
1068,5065,9,590,1937,184.87,67.37,75.12,0.002,Hẹn Hò
760,4921,-7,415,1937,184.06,68.44,64.75,0.003,Hẹn Hò
399,5161,9,208,1904,178.75,67.19,53.69,0.003,Hẹn Hò
392,4326,-7,9,1904,169.31,62.06,50.88,0.003,Hẹn Hò
17,3609,-3,4,1888,153.19,50.94,57.06,0.002,Hẹn Hò
8,1446,6,0,1889,143.19,36.75,56.25,0.076,Hẹn Hò
-5,9,-5,10,1888,133.06,18.12,53.5,0.002,Hẹn Hò
10,-3,4,1,1888,121.12,-0.37,55.25,0.113,Hẹn Hò
-3,4,0,4,1889,113.19,-17.75,57.31,0.04,Hẹn Hò
