flex1,flex2,flex3,flex4,flex5,x,y,z,face,SIGN
1,3,2,1,1889,250.69,-68.56,77.75,0.001,Không Thích
0,1,0,11,1889,250.87,-68.44,77.37,0.001,Không Thích
1,1,0,1,1888,251.19,-68.44,79.06,0.002,Không Thích
0,1,1,2,1889,251.31,-68.69,82.94,0.003,Không Thích
3,1,2,0,1888,251.56,-68.94,85.12,0.001,Không Thích
1,2,2,1,1889,251.69,-69.12,85.44,0.001,Không Thích
0,2,0,0,1888,252.19,-69.31,85.37,0.0,Không Thích
1,1,1,2,1889,252.44,-69.62,84.81,0.002,Không Thích
3,1,1,2,1889,252.69,-70.25,83.69,0.0,Không Thích
1,2,0,0,1889,252.25,-70.94,81.0,0.002,Không Thích
2,3,1,2,1889,251.69,-71.37,78.75,0.003,Không Thích
2,1,1,0,1889,252.06,-71.81,76.44,0.001,Không Thích
2,1,1,1,1888,251.31,-72.19,72.94,0.001,Không Thích
0,0,1,2,1889,251.31,-73.06,72.94,0.0,Không Thích
1,1,1,2,1888,251.44,-75.25,76.19,0.001,Không Thích
2,1,2,1,1888,250.69,-77.69,81.5,0.001,Không Thích
1,1,1,1,1888,250.5,-78.62,83.0,0.0,Không Thích
1,0,1,1,1888,251.31,-77.94,81.06,0.001,Không Thích
1,1,1,3,1888,253.5,-76.87,80.06,0.001,Không Thích
0,0,1,1,1889,252.37,-78.12,84.75,0.002,Không Thích
1,2,1,2,1889,247.19,-78.69,93.81,0.003,Không Thích
1,0,1,1,1888,242.44,-77.25,100.25,0.004,Không Thích
2,1,2,1,1889,244.06,-77.5,105.19,0.003,Không Thích
0,1,0,2,1889,251.0,-78.0,99.5,0.003,Không Thích
0,1,1,2,1888,254.06,-76.19,90.12,0.003,Không Thích
3,0,1,1,1888,259.5,-74.37,89.31,0.003,Không Thích
0,1,2,0,1889,262.62,-73.12,82.56,0.002,Không Thích
3,2,1,1,1888,260.44,-71.19,78.44,0.003,Không Thích
0,1,2,1,1889,256.37,-69.87,77.5,0.003,Không Thích
0,2,0,1,1889,252.87,-68.12,72.94,0.001,Không Thích
1,2,1,1,1888,251.5,-67.19,71.25,0.002,Không Thích
3,1,1,0,1889,250.5,-67.56,72.87,0.002,Không Thích
0,1,0,1,1888,251.0,-68.0,75.56,0.002,Không Thích
1,1,2,1,1889,253.37,-67.81,78.56,0.002,Không Thích
-1,0,1,1,1888,255.81,-67.19,79.94,0.003,Không Thích
0,2,1,1,1888,255.62,-66.31,78.44,0.003,Không Thích
1,2,0,0,1888,254.69,-66.0,79.81,0.003,Không Thích
1,2,1,1,1889,254.75,-66.25,83.06,0.003,Không Thích
2,1,0,2,1889,254.94,-66.81,85.56,0.0,Không Thích
1,1,1,0,1888,255.25,-66.87,84.19,0.002,Không Thích
2,1,2,1,1888,255.5,-65.69,82.56,0.002,Không Thích
1,1,1,3,1888,257.94,-63.5,79.31,0.002,Không Thích
2,1,0,1,1889,261.31,-57.25,72.12,0.003,Không Thích
0,1,1,1,1888,261.06,-53.38,68.87,0.003,Không Thích
0,1,3,2,1889,258.94,-52.94,69.06,0.003,Không Thích
2,1,0,1,1889,258.31,-51.94,69.31,0.003,Không Thích
1,2,1,1,1888,260.69,-48.13,68.12,0.001,Không Thích
2,0,2,1,1889,263.12,-42.44,64.5,0.0,Không Thích
1,1,2,3,1888,265.19,-36.31,59.69,0.002,Không Thích
1,1,2,1,1889,268.25,-29.75,56.63,0.003,Không Thích
7,1,3,7,1888,268.87,-28.75,56.44,0.003,Không Thích
1,0,279,772,1888,265.56,-37.06,56.88,0.002,Không Thích
2,1,436,933,1889,257.81,-46.75,64.5,0.003,Không Thích
1,2,2,58,1889,244.87,-59.06,78.87,0.002,Không Thích
0,0,1,1,1889,245.0,-69.12,119.31,0.002,Không Thích
0,1,2,1,1889,252.75,-64.12,132.37,0.002,Không Thích
2,0,1,1,1888,247.12,-65.31,100.69,0.003,Không Thích
2,1,1,0,1889,244.62,-64.25,72.06,0.002,Không Thích
1,1,0,1,1889,247.06,-64.94,71.75,0.002,Không Thích
1,1,2,1,1888,250.06,-66.62,80.69,0.003,Không Thích
2,1,0,1,1888,251.87,-67.56,92.87,0.062,Không Thích
0,1,2,2,1888,251.56,-68.69,93.12,0.075,Không Thích
2,2,1,2,1889,251.81,-68.81,88.62,0.061,Không Thích
1,1,1,0,1889,253.5,-68.19,87.62,0.073,Không Thích
0,2,2,1,1888,254.37,-68.31,88.12,0.064,Không Thích
0,0,1,2,1888,254.19,-68.62,87.69,0.054,Không Thích
0,1,2,1,1888,255.19,-68.12,87.5,0.054,Không Thích
-1,0,1,2,1888,258.0,-67.12,81.44,0.058,Không Thích
2,1,1,1,1889,256.62,-67.44,75.19,0.064,Không Thích
2,1,0,1,1888,252.37,-70.75,78.37,0.069,Không Thích
1,1,1,1,1889,246.62,-73.69,85.19,0.066,Không Thích
1,1,1,1,1888,242.31,-74.12,91.87,0.075,Không Thích
1,2,1,1,1888,244.25,-70.44,95.31,0.059,Không Thích
1,1,0,1,1889,248.69,-66.06,97.69,0.06,Không Thích
0,1,1,1,1888,252.19,-64.37,98.31,0.065,Không Thích
1,2,1,1,1888,249.75,-66.94,91.75,0.081,Không Thích
2,2,2,2,1888,249.25,-67.56,90.12,0.082,Không Thích
1,1,0,1,1888,250.37,-67.12,92.06,0.053,Không Thích
1,3,2,2,1889,252.19,-66.31,93.0,0.06,Không Thích
1,2,2,2,1889,251.69,-66.94,92.69,0.056,Không Thích
1,1,2,1,1888,251.69,-68.0,92.37,0.001,Không Thích
0,2,1,2,1889,252.37,-67.81,92.75,0.001,Không Thích
0,2,2,2,1888,253.25,-67.69,93.19,0.001,Không Thích
2,0,1,1,1889,253.62,-68.06,93.5,0.002,Không Thích
2,1,2,1,1888,254.31,-67.87,93.81,0.001,Không Thích
2,1,1,3,1888,257.69,-64.37,91.5,0.002,Không Thích
1,1,1,1,1888,268.37,-52.19,81.81,0.001,Không Thích
43,0,1,17,1888,294.62,-30.94,72.31,0.001,Không Thích
1561,2,3,373,1888,321.69,-8.69,58.31,0.001,Không Thích
1438,1,1,38,1889,347.0,19.44,52.19,0.002,Không Thích
1,2,1,4,1888,7.69,41.06,53.0,0.002,Không Thích
2,2,1,801,1889,15.88,53.75,59.56,0.001,Không Thích
2,0,192,664,1888,17.5,52.75,61.19,0.0,Không Thích
0,1,261,545,1904,26.94,51.13,58.44,0.001,Không Thích
1,1,207,524,1905,34.75,43.38,46.44,0.001,Không Thích
0,1,531,235,1889,45.63,36.44,36.81,0.0,Không Thích
3,3,500,598,1888,60.13,22.94,30.44,0.0,Không Thích
1,1,615,2,1888,59.88,22.56,33.25,0.001,Không Thích
0,2,662,2,1888,54.38,28.75,35.38,0.001,Không Thích
2,1,564,1,1888,51.31,33.19,37.75,0.001,Không Thích
0,2,261,2,1888,59.06,26.62,34.75,0.001,Không Thích
0,0,244,3,1904,61.25,22.62,35.31,0.001,Không Thích
3,1,96,1,1888,61.0,22.0,35.13,0.001,Không Thích
1,2,1,2,1888,60.81,22.5,34.81,0.001,Không Thích
2,1,0,2,1888,55.94,23.12,32.88,0.012,Không Thích
1,2,1,0,1888,42.63,23.19,29.56,0.028,Không Thích
2,2,1,2,1888,21.19,22.25,28.25,0.022,Không Thích
0,1,0,1,1888,3.94,18.87,33.0,0.006,Không Thích
2,3,2,365,1888,345.5,8.5,42.81,0.031,Không Thích
2,36,3,1761,1888,325.25,-10.56,54.63,0.014,Không Thích
72,24,65,2415,1888,304.62,-36.31,61.69,0.001,Không Thích
2,1,1,2069,1888,290.12,-56.5,68.75,0.014,Không Thích
2,1,2,163,1889,281.06,-64.69,68.31,0.024,Không Thích
2,0,1,3,1889,275.69,-62.38,68.12,0.011,Không Thích
1,2,1,0,1888,264.37,-63.63,77.56,0.001,Không Thích
2,3,1,2,1888,255.69,-73.25,104.25,0.021,Không Thích
1,-1,1,1,1888,262.62,-71.94,120.44,0.001,Không Thích
0,0,0,1,1888,260.94,-67.87,102.94,0.002,Không Thích
2,2,1,1,1888,261.62,-65.81,91.12,0.021,Không Thích
2,2,1,0,1889,261.25,-65.56,90.37,0.003,Không Thích
2,1,1,1,1888,260.87,-66.0,94.62,0.002,Không Thích
0,1,3,1,1889,259.81,-66.06,97.12,0.001,Không Thích
3,1,1,2,1889,258.94,-66.19,95.25,0.017,Không Thích
1,1,2,1,1889,258.56,-65.94,94.37,0.002,Không Thích
2,0,1,2,1888,257.94,-65.94,94.94,0.001,Không Thích
2,2,1,1,1889,257.37,-66.31,95.31,0.001,Không Thích
1,1,2,3,1889,257.0,-66.31,95.19,0.0,Không Thích
0,2,1,1,1889,257.31,-66.25,95.0,0.001,Không Thích
1,1,1,3,1889,261.87,-63.69,91.0,0.0,Không Thích
1,0,0,2,1888,271.44,-52.56,83.81,0.001,Không Thích
1,2,1,2,1889,285.19,-40.25,74.87,0.0,Không Thích
12,1,1,2,1889,304.94,-22.19,68.94,0.001,Không Thích
400,2,0,1,1888,340.12,13.63,62.88,0.001,Không Thích
3,0,1,1,1889,5.62,32.69,54.31,0.001,Không Thích
1,1,2,1,1889,31.0,26.69,41.5,0.002,Không Thích
1,1,1,2,1889,41.25,25.31,41.56,0.001,Không Thích
0,0,0,2,1888,34.94,29.75,42.88,0.002,Không Thích
1,1,2,45,1889,44.38,23.94,38.31,0.003,Không Thích
0,1,2,2,1889,41.0,24.06,41.13,0.002,Không Thích
2,1,0,0,1888,17.56,16.87,40.56,0.002,Không Thích
42,2,1,369,1888,351.25,5.69,47.38,0.001,Không Thích
151,191,65,1735,1889,330.94,-8.44,58.44,0.002,Không Thích
653,1075,478,2204,1888,308.75,-26.87,66.37,0.002,Không Thích
362,88,26,310,1889,286.75,-47.56,64.37,0.002,Không Thích
10,1,1,17,1889,271.81,-63.13,52.44,0.002,Không Thích
1,1,1,8,1888,266.75,-66.94,66.25,0.002,Không Thích
5,2,1,12,1889,257.81,-64.37,90.56,0.002,Không Thích
8,0,1,25,1889,246.81,-68.62,106.69,0.002,Không Thích
71,1,1,27,1889,251.31,-72.75,114.56,0.003,Không Thích
34,1,2,45,1888,251.31,-70.5,102.62,0.003,Không Thích
7,2,2,18,1888,252.5,-67.25,90.19,0.003,Không Thích
30,1,1,2,1888,254.44,-67.44,86.44,0.002,Không Thích
43,0,1,5,1889,255.0,-68.12,89.62,0.002,Không Thích
45,1,1,46,1889,254.44,-68.37,93.0,0.003,Không Thích
