flex1,flex2,flex3,flex4,flex5,x,y,z,face,SIGN
22,1,2,2,1889,158.94,-12.63,20.25,0.003,Tôi
1,1,1,2,1889,159.0,-12.56,20.31,0.003,Tôi
30,0,1,1,1889,158.81,-12.56,20.25,0.004,Tôi
7,2,0,0,1888,158.69,-12.63,20.37,0.005,Tôi
2,3,2,2,1888,158.5,-12.75,20.25,0.007,Tôi
44,0,2,1,1889,158.0,-12.81,20.0,0.062,Tôi
4,2,1,2,1889,157.75,-12.19,20.87,0.242,Tôi
1,1,1,1,1889,158.75,-11.13,22.94,0.362,Tôi
58,1,2,2,1889,159.94,-11.44,21.87,0.346,Tôi
0,0,0,0,1888,160.12,-10.69,19.25,0.344,Tôi
0,1,2,1,1888,159.25,-5.5,10.5,0.214,Tôi
0,1,2,0,1889,157.44,-1.81,5.44,0.089,Tôi
1,2,1,1,1888,156.19,2.56,4.19,0.115,Tôi
14,2,1,1,1889,154.56,4.44,2.25,0.107,Tôi
8,2,1,2,1889,151.94,2.25,-0.37,0.093,Tôi
36,2,1,2,1888,151.19,-1.81,-4.19,0.047,Tôi
14,2,2,1,1888,154.19,-7.5,-9.5,0.065,Tôi
58,2,1,1,1888,158.94,-12.81,-15.69,0.076,Tôi
46,1,0,1,1888,164.06,-17.31,-21.69,0.075,Tôi
61,1,0,1,1888,169.0,-23.06,-28.81,0.004,Tôi
75,2,1,1,1889,170.12,-25.37,-31.75,0.063,Tôi
116,1,1,1,1888,166.87,-24.81,-34.31,0.026,Tôi
30,1,-1,0,1889,165.62,-22.37,-30.87,0.031,Tôi
34,-1,-1,1,1888,162.94,-17.81,-27.06,0.125,Tôi
27,2,0,1,1889,159.87,-13.19,-22.87,0.076,Tôi
1,1,1,1,1889,159.81,-9.13,-16.56,0.006,Tôi
1,1,1,1,1889,157.5,-1.75,-14.88,0.003,Tôi
75,1,1,2,1888,158.87,1.25,-18.56,0.004,Tôi
4,2,2,1,1889,162.87,-0.37,-25.87,0.003,Tôi
41,0,2,3,1888,169.5,-3.25,-30.75,0.005,Tôi
0,1,1,2,1889,178.75,-7.5,-26.12,0.004,Tôi
0,1,-1,3,1889,185.62,-6.31,-27.56,0.003,Tôi
686,1,2,30,1889,185.87,-7.69,-29.19,0.003,Tôi
44,2,2,59,1888,185.25,-8.88,-27.75,0.005,Tôi
0,2,1,7,1888,184.81,-10.06,-21.69,0.029,Tôi
86,2,2,6,1889,184.06,-14.38,-17.56,0.04,Tôi
89,1,1,15,1889,186.25,-17.87,-17.31,0.021,Tôi
102,2,1,40,1888,188.31,-18.19,-16.75,0.19,Tôi
123,125,0,56,1889,188.87,-21.69,-16.5,0.09,Tôi
108,3,2,33,1889,187.44,-19.81,-15.88,0.092,Tôi
175,1,2,30,1888,185.87,-18.44,-16.12,0.042,Tôi
35,2,1,3,1888,185.19,-17.5,-15.0,0.088,Tôi
138,2,1,2,1889,183.0,-14.31,-11.06,0.003,Tôi
120,2,1,0,1888,180.81,-13.06,-10.63,0.087,Tôi
79,1,0,5,1889,180.5,-12.38,-7.37,0.01,Tôi
56,2,1,8,1888,180.06,-13.31,-7.62,0.009,Tôi
74,4,189,118,1889,179.31,-13.81,-7.87,0.094,Tôi
9,44,239,1893,1888,178.62,-14.81,-6.75,0.004,Tôi
439,416,1,713,1888,178.5,-15.06,-5.31,0.141,Tôi
141,15,2,30,1889,177.56,-15.5,-6.25,0.002,Tôi
0,0,1,3,1889,169.44,-13.13,-0.31,0.004,Tôi
0,2,1,1,1888,156.94,-18.12,10.81,0.003,Tôi
2,1,0,324,1889,156.81,-23.87,-5.56,0.005,Tôi
1,2,2,752,1888,156.87,-25.12,-5.69,0.003,Tôi
28,1,2,1033,1889,156.87,-23.19,-2.62,0.005,Tôi
68,0,2,1511,1889,157.12,-23.19,-2.69,0.007,Tôi
115,1,1,1018,1889,157.62,-23.37,-2.94,0.022,Tôi
