flex1,flex2,flex3,flex4,flex5,x,y,z,face
0,-2,3,484,1904,311.0,6.19,55.25,0.0
0,0,2,439,1889,310.94,6.12,55.25,0.001
0,0,3,2,1888,311.0,6.0,55.06,0.001
1,-1,1,67,1905,310.81,5.81,55.06,0.001
0,0,2,252,1904,310.62,5.69,55.25,0.001
1,-2,1,384,1888,310.56,5.62,55.25,0.0
1,-1,2,432,1889,310.56,5.62,55.13,0.002
0,-2,2,416,1888,310.56,5.62,55.13,0.001
0,-1,1,183,1888,310.62,5.69,55.06,0.001
1,1,1,105,1888,310.62,5.75,55.0,0.003
-1,-1,2,179,1888,310.62,5.81,55.0,0.003
1,-1,1,1,1888,310.5,5.62,54.94,0.0
1,0,2,1,1904,310.31,5.31,54.94,0.001
3,-1,2,2,1888,310.06,5.12,54.88,0.001
0,0,0,3,1904,310.19,5.0,54.69,0.001
-1,0,53,1,1920,310.31,4.56,54.56,0.0
1,-2,267,33,1937,309.87,3.56,54.69,0.002
1,-1,902,36,1936,309.25,1.94,54.0,0.001
1,-1,1261,3,1921,306.69,-0.75,54.63,0.0
504,0,1820,1,2001,296.5,-9.38,59.25,0.001
2,-1,1399,2,1968,286.37,-19.62,64.69,0.001
0,0,4335,1,1969,273.44,-28.69,61.5,0.003
3,-1,3844,1,1921,270.56,-34.19,59.44,0.001
1,1,3654,1,1921,269.94,-36.38,60.38,0.001
1,-2,3577,3,1921,269.12,-37.31,58.38,0.001
