flex1,flex2,flex3,flex4,flex5,x,y,z,face
0,-1,1,1,1889,324.0,11.63,11.5,0.005
1,-1,1,2,1888,324.12,12.06,10.75,0.001
2,-2,1,1,1889,324.06,11.75,11.38,0.001
2,-1,1,1,1888,324.06,11.44,11.13,0.001
1,-1,1,1,1888,323.94,11.44,11.25,0.003
1,-1,1,1,1888,323.94,11.63,11.31,0.002
0,0,2,1,1888,324.19,11.31,10.88,0.0
1,-1,1,1,1888,324.19,11.06,10.75,0.001
0,1,2,1,1889,324.0,10.63,11.0,0.0
0,1,0,1,1889,323.75,10.75,11.0,0.002
1,-1,1,2,1888,323.56,11.31,10.0,0.002
0,-1,0,1,1889,323.25,11.13,9.63,0.0
1,-3,1,1,1888,322.81,11.06,9.75,0.0
0,-1,2,1,1889,322.94,10.88,9.94,0.001
0,-1,1,1,1888,323.81,10.88,9.56,0.002
2,0,1,1,1889,324.0,10.5,10.56,0.001
2,-1,1,0,1888,324.0,10.06,11.06,0.001
0,0,2,2,1889,323.81,10.5,11.69,0.001
1,0,0,0,1889,324.12,10.25,10.0,0.001
1,0,0,1,1889,324.06,10.5,10.56,0.002
0,-1,0,2,1889,324.19,10.38,10.38,0.002
2,-1,1,1,1889,324.31,10.38,10.69,0.002
1,0,2,1,1889,324.31,10.44,11.06,0.002
0,-1,1,1,1888,324.25,10.69,10.63,0.002
1,0,1,1,1888,324.19,10.44,10.5,0.001
