flex1,flex2,flex3,flex4,flex5,imu_x,imu_y,imu_z,SIGN
0.0002442002442002442,0.007326007326007326,0.00757020757020757,0.005372405372405372,0.005128205128205128,63.38,-25.81,-16.87,tôi3
0.0002442002442002442,0.007326007326007326,0.00757020757020757,0.005372405372405372,0.007081807081807082,63.44,-25.75,-16.94,tôi3
0.0004884004884004884,0.007326007326007326,0.007326007326007326,0.005372405372405372,0.008302808302808303,63.44,-25.69,-16.87,tôi3
0.0004884004884004884,0.007081807081807082,0.007326007326007326,0.005616605616605617,0.00805860805860806,63.5,-25.75,-17.0,tôi3
0.0004884004884004884,0.007326007326007326,0.007081807081807082,0.005616605616605617,0.006593406593406593,63.5,-25.81,-17.06,tôi3
0.0004884004884004884,0.007326007326007326,0.007081807081807082,0.005616605616605617,0.005616605616605617,63.56,-25.87,-17.06,tôi3
0.0002442002442002442,0.007326007326007326,0.007081807081807082,0.005616605616605617,0.003907203907203907,63.56,-25.87,-17.06,tôi3
0.0002442002442002442,0.007326007326007326,0.007081807081807082,0.005616605616605617,0.002686202686202686,63.56,-26.0,-17.06,tôi3
0.0002442002442002442,0.00757020757020757,0.007081807081807082,0.005616605616605617,0.0017094017094017094,63.63,-26.0,-17.25,tôi3
0.0004884004884004884,0.00757020757020757,0.006593406593406593,0.005616605616605617,0.0009768009768009768,63.56,-26.12,-17.19,tôi3
0.0007326007326007326,0.00757020757020757,0.005860805860805861,0.005860805860805861,0.0004884004884004884,63.56,-26.0,-17.06,tôi3
0.0007326007326007326,0.00757020757020757,0.005372405372405372,0.005860805860805861,0.0029304029304029304,63.56,-26.0,-17.06,tôi3
0.0009768009768009768,0.007814407814407814,0.005128205128205128,0.005616605616605617,0.00463980463980464,63.56,-26.0,-17.0,tôi3
0.0009768009768009768,0.008302808302808303,0.004884004884004884,0.005616605616605617,0.005860805860805861,63.63,-26.0,-17.0,tôi3
0.0009768009768009768,0.008791208791208791,0.004884004884004884,0.005372405372405372,0.005372405372405372,63.56,-26.06,-17.06,tôi3
0.0004884004884004884,0.00927960927960928,0.004884004884004884,0.005128205128205128,0.003907203907203907,63.56,-26.12,-17.06,tôi3
0.0002442002442002442,0.009768009768009768,0.004884004884004884,0.004884004884004884,0.0017094017094017094,63.56,-26.25,-16.87,tôi3
0.0004884004884004884,0.010012210012210013,0.004884004884004884,0.00463980463980464,0.0009768009768009768,63.63,-26.31,-16.69,tôi3
0.0004884004884004884,0.010256410256410256,0.004884004884004884,0.004395604395604396,0.004151404151404151,63.63,-26.37,-16.69,tôi3
0.0007326007326007326,0.01098901098901099,0.00463980463980464,0.004395604395604396,0.006105006105006105,63.63,-26.25,-16.62,tôi3
0.0009768009768009768,0.011721611721611722,0.004395604395604396,0.004395604395604396,0.00757020757020757,63.31,-26.44,-16.37,tôi3
0.0009768009768009768,0.01221001221001221,0.004395604395604396,0.00463980463980464,0.008791208791208791,58.25,-27.5,-12.63,tôi3
0.0009768009768009768,0.012454212454212455,0.004884004884004884,0.004884004884004884,0.008302808302808303,40.75,-28.56,-2.56,tôi3
0.0009768009768009768,0.011721611721611722,0.029304029304029304,0.02197802197802198,0.005616605616605617,10.19,-26.12,10.75,tôi3
0.002686202686202686,0.00927960927960928,0.07155067155067155,0.0485958485958486,0.003663003663003663,349.87,-17.19,23.5,tôi3
0.010744810744810745,0.005372405372405372,0.10451770451770452,0.0735042735042735,0.0014652014652014652,335.87,-10.19,34.63,tôi3
