flex1,flex2,flex3,flex4,flex5,x,y,z,face
1,-1,1,0,1888,308.44,14.06,17.0,0.001
0,-1,1,1,1888,308.56,14.44,17.06,0.001
1,-1,2,2,1889,308.94,14.38,17.19,0.002
1,0,1,0,1889,309.37,14.63,17.5,0.003
2,0,0,3,1889,309.94,15.81,18.19,0.001
1,-1,0,1,1889,310.12,17.37,18.31,0.002
1,-1,1,1,1889,309.94,18.69,17.06,0.001
0,0,1,1,1888,310.75,19.94,15.56,0.002
2,-1,1,1,1888,310.0,20.44,17.31,0.002
23,-1,2,1,1888,309.0,20.19,18.37,0.002
19,2,1,0,1889,309.12,19.94,18.12,0.002
39,-1,1,1,1889,309.19,19.87,18.12,0.002
12,0,2,2,1888,309.5,19.75,17.87,0.002
4,-1,1,0,1889,309.75,19.69,17.62,0.001
1,-1,-1,2,1888,309.87,19.81,17.69,0.002
3,-1,2,2,1888,309.75,19.69,17.87,0.003
1,1,1,1,1889,309.81,19.69,18.06,0.004
2,0,1,1,1889,309.87,19.56,18.06,0.002
1,0,1,1,1888,309.75,19.5,18.12,0.004
1,-1,1,2,1889,309.69,19.37,18.25,0.003
1,-2,1,0,1889,309.69,19.37,18.44,0.004
0,0,1,3,1889,309.56,19.19,18.62,0.002
1,0,1,1,1888,309.69,19.19,18.44,0.009
1,0,3,1,1888,309.69,19.25,18.5,0.002
0,-2,2,2,1889,309.69,19.25,18.62,0.003
