flex1,flex2,flex3,flex4,flex5,x,y,z,face,SIGN
1,2,0,1,1889,322.19,60.31,-8.0,0.017,Xin Chào
2,1,2,1,1888,321.87,60.31,-7.56,0.005,Xin Chào
3,1,1,0,1888,321.37,58.56,-6.87,0.015,Xin Chào
2,1,0,2,1888,320.69,57.56,-6.5,0.003,Xin Chào
2,3,0,2,1889,319.75,57.25,-6.56,0.011,Xin Chào
1,3,1,234,1888,319.69,58.06,-6.56,0.007,Xin Chào
1,1,2,146,1888,318.31,58.0,-5.56,0.013,Xin Chào
2,1,62,81,1889,316.31,56.75,-6.87,0.009,Xin Chào
1,1,23,73,1889,315.87,61.38,-10.13,0.002,Xin Chào
1,2,60,133,1889,310.06,64.19,-10.5,0.002,Xin Chào
2,1,115,237,1888,302.37,65.0,0.0,0.002,Xin Chào
71,2,682,218,1889,292.0,62.38,9.69,0.004,Xin Chào
622,2,298,420,1888,290.87,63.56,9.5,0.003,Xin Chào
661,1,27,311,1888,302.69,68.25,-9.5,0.002,Xin Chào
0,3,17,56,1888,317.19,69.12,-30.19,0.006,Xin Chào
0,1,17,268,1888,323.25,66.37,-41.5,0.002,Xin Chào
1,1,1,49,1889,320.44,69.37,-31.81,0.013,Xin Chào
1,1,60,35,1889,306.62,73.0,-11.06,0.002,Xin Chào
1,7,396,62,1889,300.25,77.69,-2.31,0.003,Xin Chào
1,2,378,177,1889,304.25,81.31,-19.0,0.009,Xin Chào
1,1,98,394,1888,317.31,76.12,-41.69,0.003,Xin Chào
1,1,31,512,1889,335.56,64.94,-45.94,0.003,Xin Chào
1,1,48,168,1888,328.62,65.25,-47.0,0.004,Xin Chào
1,1,2,86,1888,318.06,72.19,-26.94,0.003,Xin Chào
0,1,41,69,1889,296.5,71.12,11.19,0.002,Xin Chào
1,1,34,183,1888,282.5,66.37,24.19,0.004,Xin Chào
2,1,992,254,1888,283.25,69.37,27.5,0.004,Xin Chào
-1,2,88,349,1888,303.62,74.06,-5.81,0.01,Xin Chào
16,2,9,487,1888,326.5,66.81,-35.56,0.002,Xin Chào
2,1,1,530,1889,332.06,63.44,-39.88,0.002,Xin Chào
1,1,2,298,1889,323.25,68.06,-29.75,0.002,Xin Chào
1,1,0,159,1888,307.69,72.19,-3.75,0.003,Xin Chào
1,1,0,152,1889,293.0,69.94,22.25,0.003,Xin Chào
1,2,2,141,1889,286.44,66.87,30.06,0.003,Xin Chào
1,2,1,105,1889,291.0,69.37,23.44,0.002,Xin Chào
0,0,1,205,1888,302.25,70.69,0.37,0.003,Xin Chào
0,1,2,278,1888,319.12,65.75,-26.87,0.005,Xin Chào
1,3,2,274,1888,324.5,63.38,-37.44,0.001,Xin Chào
1,1,1,42,1889,313.56,70.0,-27.25,0.003,Xin Chào
1,2,34,741,1888,298.5,69.5,3.62,0.003,Xin Chào
781,70,405,1206,1888,291.12,66.44,14.5,0.177,Xin Chào
963,64,414,1223,1889,302.19,66.25,-0.5,0.154,Xin Chào
99,71,787,1515,1888,319.75,61.75,-25.62,0.149,Xin Chào
313,67,437,1287,1889,327.25,57.25,-38.75,0.15,Xin Chào
373,46,333,588,1888,317.75,62.75,-28.62,0.148,Xin Chào
1,93,286,923,1888,300.44,66.06,-0.5,0.147,Xin Chào
3,147,227,518,1889,288.44,64.5,19.31,0.145,Xin Chào
1,169,234,722,1889,293.69,65.06,10.06,0.149,Xin Chào
1,153,153,1035,1889,315.62,62.19,-20.44,0.146,Xin Chào
46,39,118,1273,1889,328.37,55.5,-35.25,0.15,Xin Chào
1,65,87,1095,1889,323.37,58.88,-31.94,0.164,Xin Chào
