flex1,flex2,flex3,flex4,flex5,x,y,z,face,SIGN
1,2,0,1,1889,277.94,8.13,-3.25,0.004,Không Thích
0,3,1,1,1889,277.56,8.5,-3.37,0.082,Không Thích
-1,1,0,0,1888,277.69,7.94,-4.37,0.034,Không Thích
0,1,0,1,1889,278.87,10.19,-3.37,0.003,Không Thích
0,1,1,0,1888,282.31,10.75,-2.19,0.002,Không Thích
0,1,13,0,1888,284.06,14.13,0.75,0.001,Không Thích
0,0,1,1,1889,282.31,20.5,1.62,0.001,Không Thích
2,2,1,1,1889,281.56,27.56,1.94,0.001,Không Thích
-1,1,1,1,1889,280.06,39.5,4.5,0.0,Không Thích
2,1,2,1,1889,277.5,51.81,7.75,0.001,Không Thích
-1,2,1,1,1889,266.31,58.31,1.0,0.003,Không Thích
1,2,-1,2,1889,235.06,67.0,-27.87,0.003,Không Thích
1,1,2,1,1889,194.56,80.87,-59.38,0.003,Không Thích
1,1,1,2,1889,159.06,125.31,-82.5,0.002,Không Thích
1,1,0,16,1888,140.62,-174.81,-79.75,0.001,Không Thích
-1,1,0,2,1889,149.56,103.81,-79.69,0.001,Không Thích
-1,2,2,14,1889,152.75,76.87,-76.31,0.003,Không Thích
0,2,2,1,1889,157.56,116.81,-77.31,0.001,Không Thích
1,1,1,3,1889,167.75,127.69,-78.25,0.002,Không Thích
1,2,1,2,1888,183.31,131.87,-77.0,0.002,Không Thích
1,1,-1,2,1888,195.69,116.31,-80.19,0.003,Không Thích
2,1,2,2,1888,202.5,86.19,-79.31,0.003,Không Thích
1,-1,2,6,1889,202.31,66.0,-78.5,0.002,Không Thích
-1,2,1,2,1888,202.75,52.44,-78.44,0.002,Không Thích
1,1,1,1,1889,197.56,56.69,-79.56,0.002,Không Thích
1,2,1,8,1889,189.37,94.31,-82.44,0.001,Không Thích
-1,1,2,1,1888,185.75,145.62,-77.62,0.002,Không Thích
1,2,0,4,1888,185.31,141.25,-76.31,0.003,Không Thích
1,1,2,6,1889,188.12,117.69,-78.56,0.003,Không Thích
1,0,0,20,1888,193.62,105.06,-78.56,0.003,Không Thích
2,1,2,10,1888,199.44,100.0,-78.31,0.004,Không Thích
1,2,1,2,1889,204.81,98.19,-79.25,0.004,Không Thích
1,2,0,12,1888,206.25,97.44,-80.06,0.002,Không Thích
1,1,1,9,1888,206.31,106.44,-80.31,0.002,Không Thích
1,1,2,2,1888,205.94,116.12,-80.19,0.002,Không Thích
0,1,1,4,1888,204.81,108.87,-80.56,0.003,Không Thích
0,2,1,3,1889,206.19,93.5,-80.0,0.004,Không Thích
0,1,2,1,1889,208.25,84.31,-80.75,0.004,Không Thích
1,1,0,2,1889,210.69,80.75,-80.44,0.003,Không Thích
1,2,2,3,1889,209.69,74.25,-81.81,0.002,Không Thích
1,0,1,1,1889,204.62,4.12,-83.19,0.003,Không Thích
0,1,1,217,1888,200.44,19.44,-80.69,0.003,Không Thích
1,1,1,109,1889,201.75,29.37,-79.19,0.003,Không Thích
0,0,1,317,1888,203.0,35.75,-78.87,0.002,Không Thích
0,2,2,324,1889,203.44,45.5,-76.81,0.002,Không Thích
0,0,1,397,1888,203.75,64.25,-71.5,0.002,Không Thích
0,1,1,410,1888,208.19,66.56,-67.87,0.002,Không Thích
0,2,1,326,1888,209.37,69.19,-66.69,0.003,Không Thích
0,1,0,287,1888,203.94,69.75,-65.12,0.001,Không Thích
1,2,1,278,1889,200.19,64.94,-59.81,0.003,Không Thích
0,2,3,159,1889,217.12,72.62,-36.88,0.002,Không Thích
-1,3,0,358,1888,277.0,74.12,3.31,0.005,Không Thích
-1,1,1,286,1889,340.12,61.44,31.44,0.003,Không Thích
0,1,1,1,1888,9.31,38.0,28.31,0.002,Không Thích
-1,1,2,1,1889,26.69,33.0,22.25,0.003,Không Thích
0,2,2,0,1889,38.56,36.5,21.62,0.003,Không Thích
0,2,1,2,1888,38.81,37.19,21.69,0.002,Không Thích
-1,0,1,1,1889,35.13,40.0,24.62,0.002,Không Thích
1,1,2,1,1905,29.75,43.38,29.06,0.001,Không Thích
0,2,0,1,1888,31.81,41.63,28.5,0.001,Không Thích
38,1,1,1,1888,40.06,40.38,21.44,0.003,Không Thích
20,1,1,33,1888,39.81,42.56,23.06,0.003,Không Thích
0,1,1,1,1889,35.69,39.5,23.87,0.004,Không Thích
0,1,1,0,1889,23.87,39.0,27.44,0.004,Không Thích
2,1,1,1,1888,350.31,41.13,24.87,0.003,Không Thích
0,3,1,0,1888,305.87,46.19,12.5,0.003,Không Thích
0,1,0,0,1889,273.25,48.0,-6.87,0.004,Không Thích
0,1,0,2,1888,253.69,49.13,-29.44,0.002,Không Thích
-1,2,1,1,1888,240.25,50.44,-49.25,0.003,Không Thích
0,2,0,3,1888,216.19,72.25,-71.31,0.002,Không Thích
-1,1,1,1,1888,207.06,175.25,-84.0,0.004,Không Thích
-1,2,0,2,1889,205.87,88.37,-82.37,0.001,Không Thích
-1,1,0,1,1888,202.44,94.25,-81.56,0.002,Không Thích
-1,0,1,1,1889,202.44,85.25,-78.62,0.002,Không Thích
-1,1,2,6,1888,206.81,83.31,-60.81,0.003,Không Thích
-1,1,0,4,1888,236.0,91.19,-30.19,0.004,Không Thích
-1,1,1,1,1889,278.62,93.87,0.56,0.001,Không Thích
0,1,0,1,1888,314.94,82.94,21.19,0.001,Không Thích
1,1,1,0,1888,339.81,64.19,29.06,0.001,Không Thích
-1,1,2,1,1888,355.25,47.75,27.5,0.003,Không Thích
0,0,0,1,1888,12.63,39.19,25.31,0.001,Không Thích
299,2,1,92,1905,39.38,40.81,22.0,0.004,Không Thích
1,2,1,29,1920,38.44,39.25,18.0,0.004,Không Thích
0,2,1,22,1937,30.56,35.56,16.5,0.003,Không Thích
1,2,0,58,1937,27.94,35.75,21.56,0.004,Không Thích
1,1,1,66,1904,34.38,33.56,16.12,0.004,Không Thích
20,1,2,36,1904,42.81,37.44,13.56,0.005,Không Thích
1,0,-1,4,1889,38.19,35.38,12.5,0.004,Không Thích
1,1,1,8,1889,23.75,33.31,14.69,0.004,Không Thích
2,0,-1,19,1889,352.0,33.81,11.69,0.001,Không Thích
0,1,0,16,1888,312.44,31.37,-5.37,0.002,Không Thích
2,2,1,188,1889,281.81,28.94,-21.94,0.001,Không Thích
0,1,1,694,1889,262.5,32.44,-38.25,0.004,Không Thích
1,1,1,313,1889,253.31,34.13,-52.25,0.004,Không Thích
-1,0,2,158,1888,240.12,52.25,-64.12,0.003,Không Thích
2,2,1,44,1889,221.87,85.44,-79.69,0.001,Không Thích
2,1,0,16,1888,213.06,-178.94,-84.62,0.004,Không Thích
-1,1,1,149,1889,213.31,175.62,-83.19,0.003,Không Thích
1,2,1,50,1889,210.69,94.37,-81.44,0.001,Không Thích
3,2,1,608,1888,220.69,80.0,-52.56,0.002,Không Thích
-1,2,9,1305,1888,273.69,87.44,-7.31,0.002,Không Thích
-1,2,45,294,1921,333.0,72.62,28.19,0.002,Không Thích
1,0,65,65,1905,10.19,39.81,28.5,0.005,Không Thích
24,77,379,585,1889,41.31,35.0,10.44,0.002,Không Thích
2,1,1,0,1889,45.69,39.25,13.06,0.004,Không Thích
1,1,1,902,1889,36.88,36.94,13.63,0.003,Không Thích
1,1,1,297,1888,34.5,37.0,21.06,0.003,Không Thích
1,2,1,754,1888,35.88,38.0,21.5,0.003,Không Thích
40,2,1,338,1888,45.44,37.94,13.56,0.001,Không Thích
11,2,2,161,1888,44.94,39.0,15.56,0.003,Không Thích
0,1,1,2,1889,32.75,34.13,15.38,0.001,Không Thích
0,1,2,0,1889,4.37,37.81,20.81,0.003,Không Thích
0,1,1,0,1888,315.5,49.0,14.5,0.001,Không Thích
1,1,1,1,1888,274.44,49.06,-10.94,0.003,Không Thích
1,1,1,1,1888,247.5,60.88,-44.25,0.004,Không Thích
1,3,2,229,1888,222.94,79.0,-76.06,0.002,Không Thích
-1,0,2,392,1888,207.5,86.81,-81.37,0.003,Không Thích
0,2,1,35,1888,214.12,72.62,-62.75,0.001,Không Thích
0,1,1,3,1888,232.87,71.62,-38.69,0.002,Không Thích
0,2,-1,0,1889,276.56,76.94,-5.44,0.002,Không Thích
-1,1,2,7,1888,341.62,61.5,26.31,0.002,Không Thích
0,1,2,0,1889,16.44,39.94,29.44,0.001,Không Thích
0,0,1,5,1905,30.56,29.87,22.5,0.004,Không Thích
47,2,0,39,1889,44.88,36.44,19.69,0.004,Không Thích
0,1,1,0,1889,43.75,36.75,20.5,0.003,Không Thích
0,2,1,1,1888,37.19,35.5,21.62,0.004,Không Thích
0,0,1,0,1889,42.38,38.75,18.87,0.004,Không Thích
1,2,1,1,1888,20.31,42.13,20.0,0.001,Không Thích
0,2,1,1,1889,335.94,49.63,13.81,0.002,Không Thích
3,1,1,1,1888,294.5,66.12,1.75,0.002,Không Thích
0,1,193,2,1889,255.31,67.94,-24.56,0.004,Không Thích
1,1,29,2,1889,234.5,67.0,-48.44,0.002,Không Thích
2,1,623,16,1889,209.25,86.56,-75.25,0.002,Không Thích
1,1,3,225,1889,197.31,103.87,-79.5,0.003,Không Thích
0,2,1,418,1888,197.12,95.62,-71.94,0.004,Không Thích
0,1,1,295,1888,218.94,84.31,-46.81,0.004,Không Thích
0,1,2,416,1905,274.75,84.37,-7.37,0.005,Không Thích
2,2,22,466,1889,337.62,69.87,25.75,0.005,Không Thích
2,1,67,21,1888,13.94,40.44,25.87,0.003,Không Thích
18,150,1,10,1888,40.75,37.31,15.69,0.003,Không Thích
1,3,1,21,1888,45.13,39.81,16.12,0.003,Không Thích
1,3,1,1,1889,40.25,38.19,17.12,0.002,Không Thích
0,0,1,41,1889,34.0,37.31,20.06,0.002,Không Thích
1,2,1,4,1888,40.94,36.38,16.31,0.002,Không Thích
6,2,2,0,1889,45.5,39.31,16.37,0.002,Không Thích
0,2,0,30,1888,37.06,36.44,17.75,0.003,Không Thích
0,1,0,1,1888,16.44,34.0,21.94,0.002,Không Thích
1,0,281,1,1889,340.56,38.63,20.5,0.001,Không Thích
1,2,1,1,1888,298.19,42.94,6.81,0.003,Không Thích
1,2,453,32,1889,264.31,37.56,-22.87,0.003,Không Thích
1,1,2,2,1888,239.75,55.75,-48.63,0.003,Không Thích
1,1,1,5,1888,204.62,78.37,-80.06,0.002,Không Thích
1,2,1,1,1889,201.94,73.62,-80.87,0.004,Không Thích
0,2,1,2,1888,204.69,76.0,-72.81,0.003,Không Thích
1,2,1,1,1888,216.69,76.37,-54.94,0.002,Không Thích
1,1,2,2,1888,251.69,80.81,-23.56,0.004,Không Thích
1,1,0,0,1888,298.44,79.37,5.87,0.004,Không Thích
0,1,1,2,1889,344.81,60.13,26.62,0.002,Không Thích
0,1,1,1,1889,18.0,38.94,25.44,0.003,Không Thích
29,1,1,6,1888,47.13,39.25,20.87,0.004,Không Thích
1,0,1,-1,1889,45.5,40.56,20.12,0.003,Không Thích
0,2,1,0,1889,35.5,36.63,20.25,0.005,Không Thích
